LAT,LON,Village,DATETIME,TYPE,TERRITOIRE,SECTEUR,GROUPEMENT,AS_,ZS,DATUM,COORDLATLO,TYPE_GPS,SOURCE_DAT,pVillage,CVillage,NC2009,NC2010,NC2011,tot_cases
-3.01571,16.9186,CS SENDEKE,40500.66068,CS,MUSHIE,BABOMA NORD,BANUNU,SENDEKE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,SENDEKE,SENDEKE SENDEKE,0,0,0,0
-3.01616,16.91159,INSTITUT MOBA,40500.66068,ES,MUSHIE,BABOMA NORD,BANUNU,SENDEKE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,INSTITUT MOBA,SENDEKE INSTITUT MOBA,0,0,0,0
-3.01408,16.91755,INSTITUT KWANGO,40500.66068,ES,MUSHIE,BABOMA NORD,BANUNU,SENDEKE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,INSTITUT KWANGO,SENDEKE INSTITUT KWANGO,0,0,0,0
-3.01355,16.91715,EP KWANGO,40500.66068,EP,MUSHIE,BABOMA NORD,BANUNU,SENDEKE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,EP KWANGO,SENDEKE EP KWANGO,0,0,0,0
-3.01656,16.92072,QUARTIER CELLULE GAO,40500.66068,QUARTIER,MUSHIE,BABOMA NORD,BANUNU,SENDEKE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,QUARTIER CELLULE GAO,SENDEKE QUARTIER CELLULE GAO,0,0,0,0
-3.01651,16.91703,QUARTIER CELLULE SENDEKE,40500.66068,QUARTIER,MUSHIE,BABOMA NORD,BANUNU,SENDEKE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,QUARTIER CELLULE SENDEKE,SENDEKE QUARTIER CELLULE SENDEKE,0,0,0,0
-3.01281,16.91695,QUARTIER CELLULE TERRE JAUNE,40500.66068,QUARTIER,MUSHIE,BABOMA NORD,BANUNU,SENDEKE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,QUARTIER CELLULE TERRE JAUNE,SENDEKE QUARTIER CELLULE TERRE JAUNE,0,0,0,0
-3.01287,16.91996,QUARTIER MUNDELENGULU,40500.66068,QUARTIER,MUSHIE,BABOMA NORD,BANUNU,SENDEKE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,QUARTIER MUNDELENGULU,SENDEKE QUARTIER MUNDELENGULU,0,0,0,0
-3.0134,16.92277,QUARTIER MBALI,40500.66068,QUARTIER,MUSHIE,BABOMA NORD,BANUNU,SENDEKE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,QUARTIER MBALI,SENDEKE QUARTIER MBALI,0,0,0,0
-3.01504,16.9228,QUARTIER TWA,40500.66068,QUARTIER,MUSHIE,BABOMA NORD,BANUNU,SENDEKE,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,QUARTIER TWA,SENDEKE QUARTIER TWA,0,0,0,0
-3.02036,16.92295,INSTITUT DE MUSHIE I,40501.39218,ES,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,INSTITUT DE MUSHIE I,NZINZI INSTITUT DE MUSHIE I,0,0,0,0
-3.01818,16.90579,EP MABULU YA MUMPE,40501.39218,EP,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,EP MABULU YA MUMPE,NZINZI EP MABULU YA MUMPE,0,0,0,0
