LAT,LON,VILLAGE,BD_JO_NOM_,DEF_TYPE,REPERTOIRE,ZS,AS_,PROVINCE,DISTRICT,TERRITOIRE,SECTEUR,GROUPEMENT,DATUM,COORDLATLO,TYPE_GPS,DATE_DATA,SOURCE_DAT,AS_N_DECOU,pVILLAGE,pVillageC,NC2000,NC2001,NC2002,NC2003,NC2004,NC2005,NC2006,NC2007,NC2008,NC2009,NC2010,NC2011,NC2012,totalCases
-4.71345,18.44594,BABA,BABA,VILLAGE,REPERTOIRE,BULUNGU,BILOLO,BANDUNDU,KWILU,BULUNGU,NKO,MBONGA KAKESA,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,NOVEMBRE 2008,PNLTHA-CTB,BILOLO,BABA,BILOLO BABA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.70425,18.47711,BILOLO,BILOLO,CS,REPERTOIRE,BULUNGU,BILOLO,BANDUNDU,KWILU,BULUNGU,NKO,MBONGA KAKESA,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,NOVEMBRE 2008,PNLTHA-CTB,BILOLO,BILOLO,BILOLO BILOLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.68015,18.53069,CAMP KIANGA,CAMP KIANGA,VILLAGE,REPERTOIRE,BULUNGU,BILOLO,BANDUNDU,KWILU,BULUNGU,NKO,MBONGA KAKESA,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,NOVEMBRE 2008,PNLTHA-CTB,BILOLO,CAMP KIANGA,BILOLO CAMP KIANGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.6848,18.49374,FERME KINDAMBI,FERME KINDAMBI (D),FERME,REPERTOIRE,BULUNGU,BILOLO,BANDUNDU,KWILU,BULUNGU,NKO,MBONGA KAKESA,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,NOVEMBRE 2008,PNLTHA-CTB,BILOLO,FERME KINDA,BILOLO FERME KINDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.70746,18.5234,FERME KINGULU,FERME KINGULU,FERME,REPERTOIRE,BULUNGU,BILOLO,BANDUNDU,KWILU,BULUNGU,NKO,MBONGA KAKESA,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,NOVEMBRE 2008,PNLTHA-CTB,BILOLO,FERME KINGU,BILOLO FERME KINGU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.71273,18.51831,FERME MALONDOLO,FERME MALONDOLO,FERME,REPERTOIRE,BULUNGU,BILOLO,BANDUNDU,KWILU,BULUNGU,NKO,MBONGA KAKESA,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,NOVEMBRE 2008,PNLTHA-CTB,BILOLO,FERME MALON,BILOLO FERME MALON,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.68869,18.50759,FERME MUYOKO,FERME MUYOKO,FERME,REPERTOIRE,BULUNGU,BILOLO,BANDUNDU,KWILU,BULUNGU,NKO,MBONGA KAKESA,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,NOVEMBRE 2008,PNLTHA-CTB,BILOLO,FERME MUYOK,BILOLO FERME MUYOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.71371,18.49691,FERME NGONGO,FERME NGONGO,FERME,REPERTOIRE,BULUNGU,BILOLO,BANDUNDU,KWILU,BULUNGU,NKO,MBONGA KAKESA,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,NOVEMBRE 2008,PNLTHA-CTB,BILOLO,FERME NGONG,BILOLO FERME NGONG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.73076,18.44868,KASA,KASA,VILLAGE,REPERTOIRE,BULUNGU,BILOLO,BANDUNDU,KWILU,BULUNGU,NKO,MBONGA KAKESA,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,NOVEMBRE 2008,PNLTHA-CTB,BILOLO,KASA,BILOLO KASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.68345,18.51914,KIANGA,KIANGA,VILLAGE,REPERTOIRE,BULUNGU,BILOLO,BANDUNDU,KWILU,BULUNGU,NKO,MBONGA KAKESA,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,NOVEMBRE 2008,PNLTHA-CTB,BILOLO,KIANGA,BILOLO KIANGA,0,0,0,0,0,0,0,0,0,0,0,1,0,1
-4.72271,18.46348,KIKONZI,KIKONZI (D),VILLAGE,REPERTOIRE,BULUNGU,BILOLO,BANDUNDU,KWILU,BULUNGU,NKO,MBONGA KAKESA,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,NOVEMBRE 2008,PNLTHA-CTB,BILOLO,KIKONZI,BILOLO KIKONZI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
