ZS,AS_,VILLAGE,DEF_TYPE,LAT,LON
Bokoro,Bien,Bien,VILLAGE,0,0
Bokoro,Bien,Kese,VILLAGE,0,0
Bokoro,Bomo,Bomo,VILLAGE,0,0
Bokoro,Bomo,Mongotaotua,VILLAGE,0,0
Bokoro,Botemola,Ipoku 1,VILLAGE,0,0
Bokoro,Boyon,Mosedjon,VILLAGE,0,0
Bokoro,Ilombe,Bemfuka,VILLAGE,0,0
Bokoro,Ilombe,Ikuma,VILLAGE,0,0
Bokoro,Ilombe,Isho,VILLAGE,0,0
Bokoro,Ilombe,Mpiankan,VILLAGE,0,0
Bokoro,Ilombe,Nsembimi,VILLAGE,0,0
Bokoro,Ilombe,Ntale,VILLAGE,0,0
Bokoro,Ipeke,Ipeke,VILLAGE,0,0
Bokoro,Isaka Mbole,Isaka Mbole,VILLAGE,0,0
Bokoro,Isaka Mbole,Onankie,VILLAGE,0,0
Bokoro,Kemba Lelaw,Ibaa,VILLAGE,0,0
Bokoro,Kemba Lelaw,Kemba Lelaw,VILLAGE,0,0
Bokoro,Kemba Secteur,Kebinsa,VILLAGE,0,0
Bokoro,Kempimpi,Mbunkui,VILLAGE,0,0
Bokoro,Kempimpi,Nselembili,VILLAGE,0,0
Bokoro,Luna,Ipoku 2,VILLAGE,0,0
Bokoro,Motangiri,Montu,VILLAGE,0,0
Bokoro,Motangiri,Motangiri,VILLAGE,0,0
Bokoro,Nzampie,Botoko,VILLAGE,0,0
Bokoro,Nzampie,Ikoko,VILLAGE,0,0
Bokoro,Nzampie,Nzampie,VILLAGE,0,0
Bokoro,Nzampie,Paypay,VILLAGE,0,0
Bokoro,Sekesiri,Kempa,VILLAGE,0,0
Bokoro,Sekesiri,Nsemokaw,VILLAGE,0,0
Bokoro,Tolo 1,Bokungu,VILLAGE,0,0
Bokoro,Tolo 1,Ebemvu,VILLAGE,0,0
Bokoro,Tolo 1,Ikui,VILLAGE,0,0
Bokoro,Tolo 1,Masamba,VILLAGE,0,0
Bokoro,"Tolo 1,2,3",Tolo Cite,VILLAGE,0,0
Bokoro,Tolo 2,Mazoko,VILLAGE,0,0
Bokoro,Vuna,Vuna,VILLAGE,0,0
Kikongo,Centre Lwono,Centre Lwono,VILLAGE,0,0
Kikongo,Fakwilu,Fakwilu,VILLAGE,0,0
Kikongo,Fakwilu,Ferme Falame,VILLAGE,0,0
Kikongo,Fakwilu,Ferme Kisamwilu,VILLAGE,0,0
Kikongo,Fakwilu,Kinkutu Nzo,VILLAGE,0,0
Kikongo,Fakwilu,Kinkutumwe,VILLAGE,0,0
Kikongo,Fakwilu,Kipata Dangu,VILLAGE,0,0
Kikongo,Fakwilu,Mandata,VILLAGE,0,0
Kikongo,Fakwilu,Masala,VILLAGE,0,0
Kikongo,Fakwilu,Mfumungambi,VILLAGE,0,0
Kikongo,Fakwilu,Parking II/Mbulu,VILLAGE,0,0
Kikongo,Fambondo,Fambondo 1,VILLAGE,0,0
Kikongo,Fambondo,Fasila II,VILLAGE,0,0
Kikongo,Fambondo,Ferme Masamba,VILLAGE,0,0
Kikongo,Fambondo,Kimbi,VILLAGE,0,0
Kikongo,Fambondo,Kinkwey,VILLAGE,0,0
Kikongo,Fankana,Fankana,VILLAGE,0,0
Kikongo,Fatundu,Ferme Buseke,VILLAGE,0,0
Kikongo,Fatundu,Mikinzi,VILLAGE,0,0
Kikongo,Fatundu,Mmibungu,VILLAGE,0,0
Kikongo,Fatundu,Ndunga,VILLAGE,0,0
Kikongo,Kibwanga,Camp Cantonier,VILLAGE,0,0
Kikongo,Kibwanga,Kibwanga,VILLAGE,0,0
Kikongo,Kibwanga,Kimbimbi,VILLAGE,0,0
Kikongo,Kibwanga,Kingoma,VILLAGE,0,0
Kikongo,Kibwanga,Kinkamo,VILLAGE,0,0
Kikongo,Kibwanga,Kinkweni,VILLAGE,0,0
Kikongo,Kibwanga,Kipata,VILLAGE,0,0
Kikongo,Kibwanga,Kisantete,VILLAGE,0,0
Kikongo,Kibwanga,Kolo-Kolo II,VILLAGE,0,0
Kikongo,Kibwanga,Mabankama,VILLAGE,0,0
Kikongo,Kikongo,Ferme Buseke,VILLAGE,0,0
Kikongo,Kikongo,Ferme Israel/Kindundu,VILLAGE,0,0
Kikongo,Kikongo,Kikasi,VILLAGE,0,0
Kikongo,Kikongo,Kikongo,VILLAGE,0,0
Kikongo,Kikongo,Kikwe,VILLAGE,0,0
Kikongo,Kikongo,Kikwilu 5 Km,VILLAGE,0,0
Kikongo,Kikongo,Kimbuma,VILLAGE,0,0
Kikongo,Kikongo,Kinkole,VILLAGE,0,0
Kikongo,Kikongo,Kunimbu,VILLAGE,0,0
Kikongo,Kikongo,Mukwama,VILLAGE,0,0
Kikongo,Kikongo,Nsaka,VILLAGE,0,0
Kikongo,Kindongombe,Kiyulu,VILLAGE,0,0
Kikongo,Kinkosi,Fabiese,VILLAGE,0,0
Kikongo,Kinkosi,Kingala Mutete,VILLAGE,0,0
Kikongo,Kinkosi,Kipata Kitumba,VILLAGE,0,0
Kikongo,Kinkosi,Kipata Mukoko,VILLAGE,0,0
Kikongo,Kisia Kambulu,Kisia Ngasi,VILLAGE,0,0
Kikongo,Kisia Kambulu,Mayala,VILLAGE,0,0
Kikongo,Kisia Kambulu,Mvulabanku,VILLAGE,0,0
Kikongo,Kisia Kambulu,Pays Bodjuna,VILLAGE,0,0
Kikongo,Lunkuni,Kibangwomo,VILLAGE,0,0
Kikongo,Lunkuni,Kizubi,VILLAGE,0,0
Kikongo,Lunkuni,Lunkuni Bambala,VILLAGE,0,0
Kikongo,Lunkuni,Mpie,VILLAGE,0,0
Kikongo,Lunkuni,Mpimoy,VILLAGE,0,0
Kikongo,Manzasay,Kimbuma,VILLAGE,0,0
Kikongo,Manzasay,Mayo,VILLAGE,0,0
Kikongo,Matele,Kibwadi Camp,VILLAGE,0,0
Kikongo,Matele,Kibwadi I,VILLAGE,0,0
Kikongo,Matele,Kulungu,VILLAGE,0,0
Kikongo,Matele,Mangwono,VILLAGE,0,0
Kikongo,Matele,Matele,VILLAGE,0,0
Kikongo,Matele,Mbaka I,VILLAGE,0,0
Kikongo,Matele,Mbaka II,VILLAGE,0,0
Kikongo,Matele,Mobenga,VILLAGE,0,0
Kikongo,Matele,Mopene,VILLAGE,0,0
Kikongo,Mbonga Mbanza,Bitika,VILLAGE,0,0
Kikongo,Mbonga Mbanza,Kimbuku,VILLAGE,0,0
Kikongo,Mbonga Mbanza,Mbonga Mitun,VILLAGE,0,0
Kikongo,Mbonga Mbanza,Mbonga Mbanza,VILLAGE,0,0
Kikongo,Mbulukumbi,Bitula,VILLAGE,0,0
Kikongo,Mbulukumbi,Mbolo,VILLAGE,0,0
Kikongo,Misay,Boka,VILLAGE,0,0
Kikongo,Misay,Bongono I,VILLAGE,0,0
Kikongo,Misay,Bongono II,VILLAGE,0,0
Kikongo,Misay,Fampanda,VILLAGE,0,0
Kikongo,Misay,Ferme Buloso,VILLAGE,0,0
Kikongo,Misay,Misay,VILLAGE,0,0
Kikongo,Misay,Mutiene,VILLAGE,0,0
Kikongo,Mukulanzadi,Ferme Mulata,VILLAGE,0,0
Kikongo,Mukulanzadi,Ferme Bumba,VILLAGE,0,0
Kikongo,Mukulanzadi,Kima,VILLAGE,0,0
Kikongo,Mukulanzadi,Muni II,VILLAGE,0,0
Kikongo,Mukulanzadi,Ntunu,VILLAGE,0,0
Kikongo,Mumbanda,Mibey,VILLAGE,0,0
Kikongo,Mumbanda,Mongata,VILLAGE,0,0
Kikongo,Musabu,Makangay,VILLAGE,0,0
Kikongo,Ngi,Kimwanza,VILLAGE,0,0
Kikongo,Ngi,Manzawu,VILLAGE,0,0
Kikongo,Ngi,Mikinzi,VILLAGE,0,0
Kikongo,Ngi,Mosango,VILLAGE,0,0
Kikongo,Ngi,Ngimindi,VILLAGE,0,0
Kikongo,Ngi,Ngipudi,VILLAGE,0,0
Kikongo,Nkwaya,Kikwo,VILLAGE,0,0
Kikongo,Nkwaya,Mbala I Et II,VILLAGE,0,0
Kikongo,Nkwaya,Mibamba,VILLAGE,0,0
Kikongo,Nkwaya,Mikiaka Nto,VILLAGE,0,0
Kikongo,Nkwaya,Ntomunkuy,VILLAGE,0,0
Kikongo,Nkwaya,Okiane,VILLAGE,0,0
Bulungu,Nkara,Tshiangobo,VILLAGE,0,0
Bulungu,Ntandu,Ntandu,VILLAGE,0,0
Bulungu,Nkara,Nkara Centre,VILLAGE,0,0
Bulungu,Mpene,Nkara Ewa,VILLAGE,0,0
Bulungu,Nkara,Nkara Village,VILLAGE,0,0
Bulungu,Niadi,Nkwaya,VILLAGE,0,0
Bulungu,Musenge,Nsama,VILLAGE,0,0
Bulungu,Niadi,Niadi,VILLAGE,0,0
Bulungu,Mpene,Mpene,VILLAGE,0,0
Bulungu,Musenge ,Mukulu Mbisi,VILLAGE,0,0
Bulungu,Ntandu,Bienzi,VILLAGE,0,0
Bulungu,Longo,Mbila,VILLAGE,0,0
Bulungu,Mbeni,Bikwon,VILLAGE,0,0
Bulungu,Mayala,Bunzi,VILLAGE,0,0
Bulungu,Mayala,Elom Kikongo,VILLAGE,0,0
Bulungu,Niadi,Elomo Mukolo,VILLAGE,0,0
Bulungu,Mpene,Eyana,VILLAGE,0,0
Bulungu,Ntandu,Imini,VILLAGE,0,0
Bulungu,Kiakia,Mikingi Kiakia,VILLAGE,0,0
Bulungu,Kiakia,Kiakia II,VILLAGE,0,0
Bulungu,Pindi,Kikandji,VILLAGE,0,0
Bulungu,Mitshakila,Kikongo,VILLAGE,0,0
Bulungu,Mayala,Kulumpia,VILLAGE,0,0
Bulungu,Ntandu,Kwilu Milundu,VILLAGE,0,0
Bulungu,Longo,Longo Kuma Kuma,VILLAGE,0,0
Bulungu,MC Pindi,Longo Pindi,VILLAGE,0,0
Bulungu,MC Pindi,Longo Zaba,VILLAGE,0,0
Bulungu,Mpene,Matu,VILLAGE,0,0
Bulungu,Mayala,Mayala,VILLAGE,0,0
Bulungu,Mbeni,Mbalanbele,VILLAGE,0,0
Bulungu,Mbeni,Mbeni,VILLAGE,0,0
Bulungu,Nkara,Mbila,VILLAGE,0,0
Bulungu,Mpene,Mibiere,VILLAGE,0,0
Bulungu,Mitshakila,Mitshiakila,VILLAGE,0,0
Bulungu,Yambau,Kwilandongo,VILLAGE,0,0
Bulungu,Dibu,Mayoko Niadi,VILLAGE,0,0
Bulungu,Niadi,Nkwaya,VILLAGE,0,0
Bulungu,Niadi,Ndobo,VILLAGE,0,0
Kimputu,Ebay Mukung,Ebay Mukung,VILLAGE,0,0
Kimputu,Ebay Mukung,Mbansam Busobo,VILLAGE,0,0
Kimputu,Ebay Mukung,Bukwon Atandele,VILLAGE,0,0
Kimputu,Ebay Mukung,Mbansam Kinkono,VILLAGE,0,0
Kimputu,Ebay Mukung,Mukongo Kinwe,VILLAGE,0,0
Kimputu,Ebay Mukung,Tshene Way Way,VILLAGE,0,0
Kimputu,Ebay Mukung,Tshene Bidiba,VILLAGE,0,0
Kimputu,Ebay Mukung,Nsong Ngulungulu,VILLAGE,0,0
Kimputu,Ebay Mukung,Nsong Pilipili,VILLAGE,0,0
Kimputu,Ebay Mukung,Mpum Kiwala,VILLAGE,0,0
Kimputu,Ebay Mukung,Mbele Eyuyu,VILLAGE,0,0
Kimputu,Ebay Mukung,Mbele Pilipili,VILLAGE,0,0
Kimputu,Bulwem,Bulwem Secteur,VILLAGE,0,0
Kimputu,Bulwem,Ikiem,VILLAGE,0,0
Kimputu,Bulwem,Nsim Ntamakungu,VILLAGE,0,0
Kimputu,Bulwem,Ndung Mpuldim,VILLAGE,0,0
Kimputu,Bulwem,Itere Bifare,VILLAGE,0,0
Kimputu,Bulwem,Ndung Bangoli,VILLAGE,0,0
Kimputu,Bulwem,Itere Ntamia,VILLAGE,0,0
Kimputu,Bulwem,Mutshun,VILLAGE,0,0
Kimputu,Bulwem,Nsong Mpuni,VILLAGE,0,0
Kimputu,Bulwem,Nsong Ndung,VILLAGE,0,0
Kimputu,Bulwem,Kintwala,VILLAGE,0,0
Kimputu,Bulwem,Eyenge Maba,VILLAGE,0,0
Kimputu,Bulwem,Mileng Mileng,VILLAGE,0,0
Kimputu,Iterembang,Itermbang,VILLAGE,0,0
Kimputu,Iterembang,Akora,VILLAGE,0,0
Kimputu,Iterembang,Olubu,VILLAGE,0,0
