PROVINCE,ZS,ID_AS,AS_,ID_VILLAGE,VILLAGE,LON,LAT,POPULATION,DEF_TYPE
BANDUNDU,MOSANGO,3034001,KASAY,1,camp bulungu,18.33594,-4.88567,141,VILLAGE
BANDUNDU,MOSANGO,3034001,KASAY,2,camp dibaya,18.35328,-4.94082,229,VILLAGE
BANDUNDU,MOSANGO,3034001,KASAY,3,camp kibengi,18.34923,-4.93122,456,VILLAGE
BANDUNDU,MOSANGO,3034001,KASAY,4,camp luzolo,18.32284,-4.87937,433,VILLAGE
BANDUNDU,MOSANGO,3034001,KASAY,5,camp Mbanza,18.35971,-4.95662,160,VILLAGE
BANDUNDU,MOSANGO,3034001,KASAY,6,kasay parkin,18.33918,-4.87796,1542,VILLAGE
BANDUNDU,MOSANGO,3034001,KASAY,7,kasay village,18.31096,-4.883,1453,VILLAGE
BANDUNDU,MOSANGO,3034001,KASAY,8,kibengi villa,18.33413,-4.94716,487,VILLAGE
BANDUNDU,MOSANGO,3034001,KASAY,9,mbanza kikumbi,18.34294,-4.98331,375,VILLAGE
BANDUNDU,MOSANGO,3034001,KASAY,10,Mukilu poste,18.30971,-4.83673,174,VILLAGE
BANDUNDU,MOSANGO,3034001,KASAY,11,Mukilu village,18.31533,-4.84312,536,VILLAGE
BANDUNDU,MOSANGO,3034001,KASAY,12,punza 1,18.31962,-4.83216,277,VILLAGE
BANDUNDU,MOSANGO,3034001,KASAY,13,punza 2,18.29961,-4.83786,369,VILLAGE
BANDUNDU,MOSANGO,3034001,KASAY,14,PUNZA PLC,18.3549,-4.81887,97,VILLAGE
BANDUNDU,MOSANGO,3034001,KASAY,15,samba,18.31052,-4.96642,354,VILLAGE
BANDUNDU,MOSANGO,3034002,KINZAMBA I,16,gobari 1,18.33601,-5.11309,616,VILLAGE
BANDUNDU,MOSANGO,3034002,KINZAMBA I,17,GOBARI 2,18.28017,-5.14202,353,VILLAGE
BANDUNDU,MOSANGO,3034002,KINZAMBA I,18,gobari 3,18.25841,-5.14506,166,VILLAGE
BANDUNDU,MOSANGO,3034002,KINZAMBA I,19,kazamba wa,18.15483,-4.97382,1000,VILLAGE
BANDUNDU,MOSANGO,3034002,KINZAMBA I,20,KIKONDJI GO,18.16662,-5.04998,408,VILLAGE
