PROVINCE,ZS,ID_AS,AS_,ID_VILLAGE,VILLAGE,LON,LAT,POPULATION,DEF_TYPE
Bandundu,Mosango,3034001,Kasay,1,Camp Bulungu,18.33594,-4.88567,141,VILLAGE
Bandundu,Mosango,3034001,Kasay,2,Camp Dibaya,18.35328,-4.94082,229,VILLAGE
Bandundu,Mosango,3034001,Kasay,3,Camp Kibengi,18.34923,-4.93122,456,VILLAGE
Bandundu,Mosango,3034001,Kasay,4,Camp Luzolo,18.32284,-4.87937,433,VILLAGE
Bandundu,Mosango,3034001,Kasay,5,Camp Mbanza,18.35971,-4.95662,160,VILLAGE
Bandundu,Mosango,3034001,Kasay,6,Kasay Parkin,18.33918,-4.87796,1542,VILLAGE
Bandundu,Mosango,3034001,Kasay,7,Kasay Village,18.31096,-4.883,1453,VILLAGE
Bandundu,Mosango,3034001,Kasay,8,Kibengi Villa,18.33413,-4.94716,487,VILLAGE
Bandundu,Mosango,3034001,Kasay,9,Mbanza Kikumbi,18.34294,-4.98331,375,VILLAGE
Bandundu,Mosango,3034001,Kasay,10,Mukilu Poste,18.30971,-4.83673,174,VILLAGE
Bandundu,Mosango,3034001,Kasay,11,Mukilu Village,18.31533,-4.84312,536,VILLAGE
Bandundu,Mosango,3034001,Kasay,12,Punza 1,18.31962,-4.83216,277,VILLAGE
Bandundu,Mosango,3034001,Kasay,13,Punza 2,18.29961,-4.83786,369,VILLAGE
Bandundu,Mosango,3034001,Kasay,14,Punza Plc,18.3549,-4.81887,97,VILLAGE
Bandundu,Mosango,3034001,Kasay,15,Samba,18.31052,-4.96642,354,VILLAGE
Bandundu,Mosango,3034002,Kinzamba I,16,Gobari 1,18.33601,-5.11309,616,VILLAGE
Bandundu,Mosango,3034002,Kinzamba I,17,Gobari 2,18.28017,-5.14202,353,VILLAGE
Bandundu,Mosango,3034002,Kinzamba I,18,Gobari 3,18.25841,-5.14506,166,VILLAGE
Bandundu,Mosango,3034002,Kinzamba I,19,Kazamba Wa,18.15483,-4.97382,1000,VILLAGE
Bandundu,Mosango,3034002,Kinzamba I,20,Kikondji Go,18.16662,-5.04998,408,VILLAGE
Bandundu,Mosango,3034002,Kinzamba I,21,Kindambi,18.23775,-5.10074,317,VILLAGE
