PROVINCE,ZS,AS_,OFFICIEL
KWILU,Bandundu,Basoko,oui
KWILU,Bandundu,Bekane,oui
KWILU,Bandundu,Bondeko,oui
KWILU,Bandundu,Camp Banku,oui
KWILU,Bandundu,CBCO,oui
KWILU,Bandundu,CEBU/BDD,oui
KWILU,Bandundu,Disasi,oui
KWILU,Bandundu,Kikior,oui
KWILU,Bandundu,Kimbanguiste,oui
KWILU,Bandundu,Lumbu,oui
KWILU,Bandundu,Lwani,oui
KWILU,Bandundu,Malebo,oui
KWILU,Bandundu,Matamba,oui
KWILU,Bandundu,Musaba,oui
KWILU,Bandundu,Mushie Pentane,oui
KWILU,Bandundu,Ndika-Ndika,oui
KWILU,Kikwit-Nord,Bongisa,oui
KWILU,Kikwit-Nord,CBCO Kikwit III,oui
KWILU,Kikwit-Nord,CEBIE Nzinda,oui
KWILU,Kikwit-Nord,Kilokoko,oui
KWILU,Kikwit-Nord,Sacré-Coeur,oui
KWILU,Kikwit-Nord,Lukolela,oui
KWILU,Kikwit-Nord,Lunia,oui
KWILU,Kikwit-Nord,Marché Kikwit III,oui
KWILU,Kikwit-Nord,Masamba,oui
KWILU,Kikwit-Nord,Nzinda I,oui
KWILU,Kikwit-Nord,Nzinda II,oui
KWILU,Kikwit-Nord,OMECO Kikwit III,oui
KWILU,Kikwit-Nord,Plateau I,oui
KWILU,Kikwit-Nord,Plateau II,oui
KWILU,Kikwit-Nord,Pont Kwilu,oui
KWILU,Kikwit-Nord,Sainte Marie,oui
KWILU,Kikwit-Nord,Saint François Xavie,oui
KWILU,Kikwit-Nord,Sabuka,oui
KWILU,Kikwit sud,Anciens Combattants,oui
KWILU,Kikwit sud,Boji,oui
KWILU,Kikwit sud,ETAC,oui
KWILU,Kikwit sud,Infra,oui
KWILU,Kikwit sud,Inga I,oui
KWILU,Kikwit sud,Inga II,oui
KWILU,Kikwit sud,Inongo,oui
KWILU,Kikwit sud,Kaggwa,oui
KWILU,Kikwit sud,Kanzombi,oui
KWILU,Kikwit sud,Kazamba,oui
KWILU,Kikwit sud,Kibangu,oui
KWILU,Kikwit sud,Kimpwanza,oui
KWILU,Kikwit sud,Kimvolo,oui
KWILU,Kikwit sud,Misengi,oui
KWILU,Kikwit sud,Mukasa,oui
KWILU,Kikwit sud,Mwanga Dibaya,oui
KWILU,Kikwit sud,Ngonga,oui
KWILU,Kikwit sud,Wenze,oui
KWILU,Bagata,Bagata,oui
KWILU,Bagata,Bangumi,oui
KWILU,Bagata,Beno,oui
KWILU,Bagata,Kama,oui
KWILU,Bagata,Kibimi,oui
KWILU,Bagata,Kimbandasay,oui
KWILU,Bagata,Kindongo,oui
KWILU,Bagata,Lukuey,oui
KWILU,Bagata,Mantiene,oui
KWILU,Bagata,Manzasay,oui
KWILU,Bagata,Mbaya-Lareme,oui
KWILU,Bagata,Moterensiene,oui
KWILU,Bagata,Mushuni,oui
KWILU,Bagata,Ndana,oui
KWILU,Bagata,Nta,oui
KWILU,Bagata,Ntober,oui
KWILU,Bagata,Sampier,oui
KWILU,Bagata,Siem-Siem,oui
KWILU,Kikongo,Fakwilu,oui
KWILU,Kikongo,Fambondo,oui
KWILU,Kikongo,Fankana,oui
KWILU,Kikongo,Fatundu,oui
KWILU,Kikongo,Kibwanga,oui
KWILU,Kikongo,Kikongo,oui
KWILU,Kikongo,Kimbay,oui
KWILU,Kikongo,Kindongo,oui
KWILU,Kikongo,Kinkosi,oui
KWILU,Kikongo,Kisia,oui
KWILU,Kikongo,Lunkuni,oui
KWILU,Kikongo,Matele,oui
KWILU,Kikongo,Mbonga,oui
KWILU,Kikongo,Mbulunkumbi,oui
KWILU,Kikongo,Misay,oui
KWILU,Kikongo,Mukula Nzadi,oui
KWILU,Kikongo,Mumbanda,oui
KWILU,Kikongo,Ngi,oui
KWILU,Kikongo,Nkwaya,oui
KWILU,Kikongo,Nsue,oui
KWILU,Sia,Bulu Nseke,oui
KWILU,Sia,Kibwadi Ley,oui
KWILU,Sia,Kinko,oui
KWILU,Sia,Kinzie,oui
KWILU,Sia,Kidzweme,oui
KWILU,Sia,Kipala Mabenga,oui
KWILU,Sia,Lukinga,oui
KWILU,Sia,Mabenga,oui
KWILU,Sia,Mbala,oui
KWILU,Sia,Mbalibi,oui
KWILU,Sia,Mbwasa,oui
KWILU,Sia,Mpo,oui
KWILU,Sia,Ndana,oui
KWILU,Sia,Ngelebanga,oui
KWILU,Sia,Nto,oui
KWILU,Sia,Panga,oui
KWILU,Sia,Panu,oui
KWILU,Sia,Pita,oui
KWILU,Sia,Pokasai,oui
KWILU,Sia,Sia,oui
KWILU,Bulungu,CBCO Bulungu,oui
KWILU,Bulungu,Ebay,oui
KWILU,Bulungu,Ekubi,oui
KWILU,Bulungu,Kazamba Pindi,oui
KWILU,Bulungu,Kiakia,oui
KWILU,Bulungu,Kiwutu,oui
KWILU,Bulungu,Kiyaka,oui
