PROVINCE,ZS,AS_,OFFICIEL
EQUATEUR,Mbandaka,Mambenga I,oui
EQUATEUR,Mbandaka,Mambenga II,oui
EQUATEUR,Mbandaka,Ipeko,oui
EQUATEUR,Mbandaka,Maman w'Elikya,oui
EQUATEUR,Mbandaka,Ngashi,oui
EQUATEUR,Mbandaka,Libiki,oui
EQUATEUR,Mbandaka,Basoko,oui
EQUATEUR,Mbandaka,Motema Pembe,oui
EQUATEUR,Mbandaka,Djombo,oui
EQUATEUR,Mbandaka,Bamanya,oui
EQUATEUR,Mbandaka,Ruki I,oui
EQUATEUR,Mbandaka,Ruki II,oui
EQUATEUR,Mbandaka,Fleuve (Nsanga),oui
EQUATEUR,Mbandaka,Likelemba,oui
EQUATEUR,Mbandaka,Motongambali,oui
EQUATEUR,Bolenge,Bolenge,oui
EQUATEUR,Bolenge,Iyonda,oui
EQUATEUR,Bolenge,Wendji Secli,oui
EQUATEUR,Bolenge,Ikengo,oui
EQUATEUR,Bolenge,Bongonde,oui
EQUATEUR,Bolenge,Bonsole Lofosola,oui
EQUATEUR,Bolenge,Bonsole Rive,oui
EQUATEUR,Bolenge,Mpombo,oui
EQUATEUR,Bolenge,Mainzenze,oui
EQUATEUR,Bolenge,Esobe Libulu,oui
EQUATEUR,Bolenge,Maita,oui
EQUATEUR,Wangata,Maman Balako,oui
EQUATEUR,Wangata,Wangata,oui
EQUATEUR,Wangata,Ikengeleke,oui
EQUATEUR,Wangata,Bosomba,oui
EQUATEUR,Wangata,Ituri,oui
EQUATEUR,Wangata,Artisanal,oui
EQUATEUR,Wangata,Losanganya,oui
EQUATEUR,Wangata,Hgr Wangata,oui
EQUATEUR,Wangata,De la Rive,oui
EQUATEUR,Wangata,Libaya,oui
EQUATEUR,Basankusu,Bafumba,oui
EQUATEUR,Basankusu,Balangala,oui
EQUATEUR,Basankusu,Kimbangu,oui
EQUATEUR,Basankusu,Boboto,oui
EQUATEUR,Basankusu,Bokakata,oui
EQUATEUR,Basankusu,Bokala,oui
EQUATEUR,Basankusu,Bokeka,oui
EQUATEUR,Basankusu,Bokele,oui
EQUATEUR,Basankusu,Bolombo Mengi,oui
EQUATEUR,Basankusu,Boyela,oui
EQUATEUR,Basankusu,Ikau,oui
EQUATEUR,Basankusu,Ilodze,oui
EQUATEUR,Basankusu,Elikya,oui
EQUATEUR,Basankusu,Lifumba,oui
EQUATEUR,Basankusu,Lilangi,oui
EQUATEUR,Basankusu,Lisafa,oui
EQUATEUR,Basankusu,Lofoma,oui
EQUATEUR,Basankusu,Monjonjo,oui
EQUATEUR,Basankusu,Ndeke,oui
EQUATEUR,Basankusu,Nsongo Ilinga,oui
EQUATEUR,Basankusu,Nsongo Nkoy,oui
EQUATEUR,Basankusu,Waka,oui
EQUATEUR,Djombo,Bobambo,oui
EQUATEUR,Djombo,Boso Ebonga,oui
EQUATEUR,Djombo,Boso Gba,oui
EQUATEUR,Djombo,Boso Maswa,oui
EQUATEUR,Djombo,Bosongo,oui
EQUATEUR,Djombo,Boso Ngombo,oui
EQUATEUR,Djombo,Boso Ngubu,oui
EQUATEUR,Djombo,Boso Ngwanza,oui
EQUATEUR,Djombo,CKE Ngumu,oui
EQUATEUR,Djombo,Dengbe,oui
EQUATEUR,Djombo,Djombo,oui
EQUATEUR,Djombo,Ebongo Libiya,oui
EQUATEUR,Djombo,Ebongo Mbulu,oui
EQUATEUR,Djombo,Kodoro,oui
EQUATEUR,Bikoro,Bikoro,oui
EQUATEUR,Bikoro,Bokonga,oui
EQUATEUR,Bikoro,Bolaka,oui
EQUATEUR,Bikoro,Botende,oui
EQUATEUR,Bikoro,Ikoko Bonginda,oui
EQUATEUR,Bikoro,Ikoko Impenge,oui
EQUATEUR,Bikoro,Indjolo,oui
EQUATEUR,Bikoro,Iyembe Moke,oui
EQUATEUR,Bikoro,Iyembe Monene,oui
EQUATEUR,Bikoro,Kalamba,oui
EQUATEUR,Bikoro,Lokanga,oui
EQUATEUR,Bikoro,Maanga,oui
EQUATEUR,Bikoro,Mbuli,oui
EQUATEUR,Bikoro,Moheli,oui
EQUATEUR,Bikoro,Mooto,oui
EQUATEUR,Bikoro,Ngelo Monzoi,oui
EQUATEUR,Bikoro,Nkake,oui
EQUATEUR,Bikoro,Widjifake,oui
EQUATEUR,Iboko,Iboko,oui
EQUATEUR,Iboko,Bondongo,oui
EQUATEUR,Iboko,Bokondo Buna,oui
EQUATEUR,Iboko,Bosolo,oui
EQUATEUR,Iboko,Bokongo,oui
EQUATEUR,Iboko,Butela,oui
EQUATEUR,Iboko,Ikenge,oui
EQUATEUR,Iboko,Itipo,oui
EQUATEUR,Iboko,Loondo,oui
EQUATEUR,Iboko,Loongo,oui
EQUATEUR,Iboko,Lokongo,oui
EQUATEUR,Iboko,Lopanzo,oui
EQUATEUR,Iboko,Mapeke,oui
EQUATEUR,Iboko,Mpangi,oui
EQUATEUR,Iboko,Wenga,oui
EQUATEUR,Ntondo,Botwali,oui
EQUATEUR,Ntondo,Ikoko Motaka,oui
EQUATEUR,Ntondo,Mabinza,oui
EQUATEUR,Ntondo,Mpaha  Pole,oui
EQUATEUR,Ntondo,Nkoso I,oui
EQUATEUR,Ntondo,Nkoso II,oui
EQUATEUR,Ntondo,Nzalekenga,oui
EQUATEUR,Ntondo,Lohenge,oui
EQUATEUR,Ntondo,Lokongo,oui
EQUATEUR,Ntondo,Ntondo,oui
EQUATEUR,Ntondo,Mokula,oui
EQUATEUR,Bolomba,Belonga,oui
EQUATEUR,Bolomba,Bogbonga,oui
EQUATEUR,Bolomba,Bolima,oui
EQUATEUR,Bolomba,Bolomba,oui
EQUATEUR,Bolomba,Bomenge,oui
EQUATEUR,Bolomba,Boso Isongo,oui
EQUATEUR,Bolomba,Boso Likala,oui
EQUATEUR,Bolomba,Boso Lombo,oui
EQUATEUR,Bolomba,Boso Mbifa,oui
EQUATEUR,Bolomba,Boso Mondomba,oui
EQUATEUR,Bolomba,Boso Ndjafo,oui
EQUATEUR,Bolomba,Boso Nzala,oui
EQUATEUR,Bolomba,Boso Sebe,oui
EQUATEUR,Bolomba,Boso Semodja,oui
EQUATEUR,Bolomba,Boyenge,oui
EQUATEUR,Bolomba,Djoa,oui
EQUATEUR,Bolomba,Ibanga,oui
EQUATEUR,Bolomba,Itotela,oui
EQUATEUR,Bolomba,Ligbalo,oui
EQUATEUR,Bolomba,Lingunda,oui
EQUATEUR,Bolomba,Mbango,oui
EQUATEUR,Bolomba,Monzambi,oui
EQUATEUR,Bolomba,Wele,oui
EQUATEUR,Bolomba,Yuli,oui
EQUATEUR,Mampoko,Cadelu,oui
EQUATEUR,Mampoko,Catholique,oui
EQUATEUR,Mampoko,Bosoasuka,oui
EQUATEUR,Mampoko,Limbila,oui
EQUATEUR,Mampoko,Bokolomwaki,oui
EQUATEUR,Mampoko,Botamba,oui
EQUATEUR,Mampoko,Bolongo,oui
EQUATEUR,Mampoko,Mampoko,oui
EQUATEUR,Mampoko,Ikanza,oui
EQUATEUR,Mampoko,Manyanga,oui
EQUATEUR,Mampoko,Bosombuki,oui
EQUATEUR,Mampoko,Ngendu,oui
EQUATEUR,Mampoko,Boyeka ,oui
EQUATEUR,Monieka,Bekungu,oui
EQUATEUR,Monieka,Belolo,oui
EQUATEUR,Monieka,Bokenyola,oui
EQUATEUR,Monieka,Bokolomongo,oui
EQUATEUR,Monieka,Bokolongo,oui
EQUATEUR,Monieka,Bokote,oui
EQUATEUR,Monieka,Bolanda,oui
EQUATEUR,Monieka,Bon gale,oui
EQUATEUR,Monieka,Bongila,oui
EQUATEUR,Monieka,Ilenga,oui
EQUATEUR,Monieka,Monieka,oui
EQUATEUR,Monieka,Penzele,oui
EQUATEUR,Bomongo,Bikondo,oui
EQUATEUR,Bomongo,Boboke,oui
EQUATEUR,Bomongo,Bokondo,oui
EQUATEUR,Bomongo,Bolebo,oui
EQUATEUR,Bomongo,Bomongo,oui
EQUATEUR,Bomongo,Bonganzi,oui
EQUATEUR,Bomongo,Bongenye,oui
EQUATEUR,Bomongo,Bosobele,oui
EQUATEUR,Bomongo,Buburu,oui
EQUATEUR,Bomongo,Libanda,oui
EQUATEUR,Bomongo,Malanga,oui
EQUATEUR,Bomongo,Mobena,oui
EQUATEUR,Bomongo,Mokolo,oui
EQUATEUR,Bomongo,Moluba,oui
EQUATEUR,Bomongo,Ngondo,oui
EQUATEUR,Bomongo,Ngwanza,oui
EQUATEUR,Lilanga bobanga,Bobanga,oui
EQUATEUR,Lilanga bobanga,Bobangi,oui
EQUATEUR,Lilanga bobanga,Bomali,oui
EQUATEUR,Lilanga bobanga,Djili,oui
EQUATEUR,Lilanga bobanga,Ilamabasa,oui
EQUATEUR,Lilanga bobanga,Ipombo,oui
EQUATEUR,Lilanga bobanga,Lilanga,oui
EQUATEUR,Lilanga bobanga,Lindika,oui
EQUATEUR,Lilanga bobanga,Lokolo moko,oui
EQUATEUR,Lilanga bobanga,Molumbu,oui
EQUATEUR,Lilanga bobanga,Mpoka,oui
EQUATEUR,Lilanga bobanga,Salongo,oui
EQUATEUR,Makanza,Bokonzi,oui
EQUATEUR,Makanza,Bolombo,oui
EQUATEUR,Makanza,Bonginda,oui
EQUATEUR,Makanza,Bongwele,oui
EQUATEUR,Makanza,Konongo,oui
EQUATEUR,Makanza,Likuba,oui
EQUATEUR,Makanza,Lobengo,oui
EQUATEUR,Makanza,Lusengo,oui
EQUATEUR,Makanza,Makanza II,oui
EQUATEUR,Makanza,Malele,oui
EQUATEUR,Makanza,Malunza,oui
EQUATEUR,Makanza,Mobeka,oui
EQUATEUR,Makanza,Mokolo mission,oui
EQUATEUR,Makanza,Ndongo,oui
EQUATEUR,Makanza,Paris,oui
EQUATEUR,Ingende,Bakandja,oui
EQUATEUR,Ingende,Batsina bakaala,oui
EQUATEUR,Ingende,Batsina lifumba,oui
EQUATEUR,Ingende,Bempumba,oui
EQUATEUR,Ingende,Bokatola,oui
EQUATEUR,Ingende,Bokuma,oui
EQUATEUR,Ingende,Bontole,oui
EQUATEUR,Ingende,Buala ngombe,oui
EQUATEUR,Ingende,Inkenge,oui
EQUATEUR,Ingende,Lifumba djolongo,oui
EQUATEUR,Ingende,Loonga,oui
EQUATEUR,Ingende,Losenge,oui
EQUATEUR,Ingende,Makako,oui
EQUATEUR,Ingende,Mpaku,oui
EQUATEUR,Ingende,Wangata,oui
EQUATEUR,Lotumbe,Befili,oui
EQUATEUR,Lotumbe,Belondo,oui
EQUATEUR,Lotumbe,Besombo,oui
EQUATEUR,Lotumbe,Betsimbola,oui
EQUATEUR,Lotumbe,Bofandjua,oui
EQUATEUR,Lotumbe,Bokala,oui
EQUATEUR,Lotumbe,Bolena,oui
EQUATEUR,Lotumbe,Bossa,oui
EQUATEUR,Lotumbe,Boyera,oui
EQUATEUR,Lotumbe,Eungu,oui
EQUATEUR,Lotumbe,Ifoku,oui
EQUATEUR,Lotumbe,Imbonga,oui
EQUATEUR,Lotumbe,Inganda,oui
EQUATEUR,Lotumbe,Losako,oui
EQUATEUR,Lotumbe,Lotumbe,oui
EQUATEUR,Lotumbe,Mbalankole,oui
EQUATEUR,Lotumbe,Nkasa,oui
EQUATEUR,Lotumbe,Waka,oui
EQUATEUR,Lokolela,Bokangamoy,oui
EQUATEUR,Lokolela,Bongonda,oui
EQUATEUR,Lokolela,Ilombola,oui
EQUATEUR,Lokolela,Itumba,oui
EQUATEUR,Lokolela,Lukolela Plantation,oui
EQUATEUR,Lokolela,Mbondo,oui
EQUATEUR,Lokolela,Mpoka,oui
EQUATEUR,Lokolela,Ndongayoka,oui
EQUATEUR,Lokolela,Ndongokoko,oui
EQUATEUR,Lokolela,Nkololingamba,oui
EQUATEUR,Lokolela,Nkondi,oui
EQUATEUR,Lokolela,Sungu,oui
EQUATEUR,Irebu,Botunu,oui
EQUATEUR,Irebu,Irebu,oui
EQUATEUR,Irebu,Malange,oui
EQUATEUR,Irebu,Mikaya,oui
EQUATEUR,Irebu,Ngombe,oui
EQUATEUR,Irebu,Nkamba,oui
EQUATEUR,Irebu,Ntondo,oui
BAS-UELE,Buta,Bale,oui
BAS-UELE,Buta,Benge,oui
BAS-UELE,Buta,Kimbanguiste,oui
BAS-UELE,Buta,Koteli,oui
BAS-UELE,Buta,Lombe,oui
BAS-UELE,Buta,Makala,oui
BAS-UELE,Buta,Malikuta,oui
BAS-UELE,Buta,Maselebende,oui
BAS-UELE,Buta,Melume,oui
BAS-UELE,Buta,Mobenge,oui
BAS-UELE,Buta,Popoka,oui
BAS-UELE,Buta,Rive Gauche,oui
BAS-UELE,Buta,Rubi,oui
BAS-UELE,Buta,Sukisa,oui
BAS-UELE,Buta,Triangle,oui
BAS-UELE,Buta,Yema,oui
BAS-UELE,Buta,Yeme,oui
BAS-UELE,Titule,Andoma,oui
BAS-UELE,Titule,Agemeto,oui
BAS-UELE,Titule,Gasende,oui
BAS-UELE,Titule,Gbangatana,oui
BAS-UELE,Titule,Kumu,oui
BAS-UELE,Titule,Liguga,oui
BAS-UELE,Titule,Malingwiya,oui
BAS-UELE,Titule,Mbenge,oui
BAS-UELE,Titule,Ngume,oui
BAS-UELE,Titule,Titule I,oui
BAS-UELE,Titule,Titule II,oui
BAS-UELE,Aketi,Aboso,oui
BAS-UELE,Aketi,Andea,oui
BAS-UELE,Aketi,Ashaupa,oui
BAS-UELE,Aketi,Azande,oui
BAS-UELE,Aketi,Bombongolo,oui
BAS-UELE,Aketi,Bonduki,oui
BAS-UELE,Aketi,Bondunga,oui
BAS-UELE,Aketi,Bonganga,oui
BAS-UELE,Aketi,Bonzengo,oui
BAS-UELE,Aketi,Dulia,oui
BAS-UELE,Aketi,Itimbiri,oui
BAS-UELE,Aketi,Makoko,oui
BAS-UELE,Aketi,Mobati,oui
BAS-UELE,Aketi,Mombwasa,oui
BAS-UELE,Aketi,Ngbongabe,oui
BAS-UELE,Aketi,Ngombo,oui
BAS-UELE,Aketi,Pesana,oui
BAS-UELE,Aketi,Wela,oui
BAS-UELE,Likati,Difongo,oui
BAS-UELE,Likati,Kulu,oui
BAS-UELE,Likati,Mabangu,oui
BAS-UELE,Likati,Mambwa,oui
BAS-UELE,Likati,Mobenge,oui
BAS-UELE,Likati,Muma,oui
BAS-UELE,Likati,Ngay,oui
BAS-UELE,Likati,Ngbatala,oui
BAS-UELE,Likati,Tobongisa,oui
BAS-UELE,Likati,Mopendu,oui
BAS-UELE,Bili,Api II,oui
BAS-UELE,Bili,Bambilo,oui
BAS-UELE,Bili,Basokpio,oui
BAS-UELE,Bili,Bika,oui
BAS-UELE,Bili,Bulumasi,oui
BAS-UELE,Bili,Dumobata,oui
BAS-UELE,Bili,Gitallo,oui
BAS-UELE,Bili,Gumbu,oui
BAS-UELE,Bili,Mangoli,oui
BAS-UELE,Bili,Mboma I,oui
BAS-UELE,Bili,Mombu,oui
BAS-UELE,Bili,Roa,oui
BAS-UELE,Bondo,Baye,oui
BAS-UELE,Bondo,Dekere,oui
BAS-UELE,Bondo,Efolu,oui
BAS-UELE,Bondo,Eganda,oui
BAS-UELE,Bondo,Gatanga,oui
BAS-UELE,Bondo,Kpakana,oui
BAS-UELE,Bondo,Kule,oui
BAS-UELE,Bondo,Panzaka,oui
BAS-UELE,Bondo,Sasa,oui
BAS-UELE,Bondo,Tomibikisa,oui
BAS-UELE,Bondo,Tongo Etami,oui
BAS-UELE,Bondo,Yakpa,oui
BAS-UELE,Bondo,Dendu,oui
BAS-UELE,Monga,Bella,oui
BAS-UELE,Monga,Biasu,oui
BAS-UELE,Monga,Bondeko,oui
BAS-UELE,Monga,Kolo,oui
BAS-UELE,Monga,Lobi,oui
BAS-UELE,Monga,Mengi,oui
BAS-UELE,Monga,Monga I,oui
BAS-UELE,Monga,Monga II,oui
BAS-UELE,Monga,Nzerret,oui
BAS-UELE,Monga,Sombe,oui
BAS-UELE,Poko,Amadi,oui
BAS-UELE,Poko,Azapana,oui
BAS-UELE,Poko,Balele,oui
BAS-UELE,Poko,Balengolu,oui
BAS-UELE,Poko,Kana,oui
BAS-UELE,Poko,Kembisa,oui
BAS-UELE,Poko,Kisanga,oui
BAS-UELE,Poko,Mangoro,oui
BAS-UELE,Poko,Mawa Ngeito,oui
BAS-UELE,Poko,Mawagarre,oui
BAS-UELE,Poko,Mbiri,oui
BAS-UELE,Poko,Naumbate,oui
BAS-UELE,Poko,Nenzepida,oui
BAS-UELE,Poko,Neza,oui
BAS-UELE,Poko,Nguma,oui
BAS-UELE,Poko,Nyapu,oui
BAS-UELE,Poko,Poko,oui
BAS-UELE,Poko,Yuma,oui
BAS-UELE,Viadana,Akpudu,oui
BAS-UELE,Viadana,Diabandingba,oui
BAS-UELE,Viadana,Limba,oui
BAS-UELE,Viadana,Lokando,oui
BAS-UELE,Viadana,Manziada,oui
BAS-UELE,Viadana,Mazulu,oui
BAS-UELE,Viadana,Mbana,oui
BAS-UELE,Viadana,Nagbongbo,oui
BAS-UELE,Viadana,Nalamu,oui
BAS-UELE,Viadana,Nawiwi,oui
BAS-UELE,Viadana,Neru,oui
BAS-UELE,Viadana,Viadana,oui
BAS-UELE,Viadana,Vungba,oui
BAS-UELE,Ango,Api,oui
BAS-UELE,Ango,Sukadi,oui
BAS-UELE,Ango,Baepolu,oui
BAS-UELE,Ango,Banda,oui
BAS-UELE,Ango,Bandueli,oui
BAS-UELE,Ango,Bayule,oui
BAS-UELE,Ango,Bokoyo,oui
BAS-UELE,Ango,Buye,oui
BAS-UELE,Ango,Dakwa,oui
BAS-UELE,Ango,Digba,oui
BAS-UELE,Ango,Disolo,oui
BAS-UELE,Ango,Ebale,oui
BAS-UELE,Ango,Mainika,oui
BAS-UELE,Ango,Makpoyo,oui
BAS-UELE,Ango,Mbabi,oui
BAS-UELE,Ango,Mbibili,oui
BAS-UELE,Ango,Mboti,oui
BAS-UELE,Ango,Mugalle,oui
BAS-UELE,Ango,Ndamana,oui
BAS-UELE,Ango,Samungu,oui
BAS-UELE,Ango,Sangwa,oui
BAS-UELE,Ango,Yasa,oui
BAS-UELE,Ango,Zamoy,oui
