ZS,AS_,VILLAGE,LON,LAT,POPULATION,DEF_TYPE,PROVINCE,OFFICIEL
BOKORO,IPEKE,IPEKE,18.25284722,-2.519305557,,VILLAGE,MAI - NDOMBE,oui
BOKORO,IPEKE,MPANZA I,18.09277778,-2.444652779,,VILLAGE,MAI - NDOMBE,oui
BOKORO,IPEKE,MPANZA II,18.08777778,-2.413125001,,VILLAGE,MAI - NDOMBE,oui
BOKORO,IPEKE,NTANEMOKWELE,18.135625,-2.46326389,,VILLAGE,MAI - NDOMBE,oui
BOKORO,IPEKE,MBUBA,18.24154035,-2.48031328,,VILLAGE,MAI - NDOMBE,oui
BOKORO,IPEKE,MBE,18.25979167,-2.529930557,,VILLAGE,MAI - NDOMBE,oui
BOKORO,IPEKE,KESEKE,18.20618055,-2.51013889,,VILLAGE,MAI - NDOMBE,oui
BOKORO,IPEKE,MIKILI,18.25097222,-2.569236112,,VILLAGE,MAI - NDOMBE,oui
BOKORO,IPEKE,MUANYA,18.23715278,-2.596875001,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KUTU CENTRAL,BASIKI,18.13467026,-2.719860077,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KUTU CENTRAL,KEMPILI,18.11055555,-2.735486112,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KUTU CENTRAL,Zampi,18.06638889,-2.758472223,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KUTU LUMUMBA,LUMUMBA I,18.15816228,-2.719621568,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KUTU LUMUMBA,LUMUMBA II,18.15847222,-2.723055557,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KUTU CENTRAL,Cite Kutu,18.14208334,-2.724771403,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KUTU LUMUMBA,BILONDI,18.17377749,-2.715606227,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KUTU LUMUMBA,MPOSO,18.19229167,-2.696458334,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA LELAW,KEMBA LELAW,18.41414665,-2.750592134,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA LELAW,NKALA,18.37465278,-2.750416667,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA LELAW,IBAA,18.34461401,-2.769416717,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA LELAW,WENZE,18.30597222,-2.772916668,,VILLAGE,MAI - NDOMBE,oui
